date,home_team,score,away_team
26-10-2024,Everton,1 - 1,Fulham
23-11-2024,Everton,0 - 0,Brentford
04-12-2024,Everton,4 - 0,Wolves
22-12-2024,Everton,0 - 0,Chelsea
29-12-2024,Everton,0 - 2,Nott'm Forest
15-01-2025,Everton,0 - 1,Aston Villa
19-01-2025,Everton,3 - 2,Tottenham
01-02-2025,Everton,4 - 0,Leicester
12-02-2025,Everton,2 - 2,Liverpool
24-08-2024,Tottenham,4 - 0,Everton
14-09-2024,Aston Villa,3 - 2,Everton
21-09-2024,Leicester,1 - 1,Everton
19-10-2024,Ipswich,0 - 2,Everton
02-11-2024,Southampton,1 - 0,Everton
09-11-2024,West Ham,0 - 0,Everton
01-12-2024,Man United,4 - 0,Everton
14-12-2024,Arsenal,0 - 0,Everton
26-12-2024,Man City,1 - 1,Everton
04-01-2025,Bournemouth,1 - 0,Everton
25-01-2025,Brighton,0 - 1,Everton
15-02-2025,Crystal Palace,1 - 2,Everton
24-08-2024,Fulham,2 - 1,Leicester
14-09-2024,Fulham,1 - 1,West Ham
21-09-2024,Fulham,3 - 1,Newcastle
19-10-2024,Fulham,1 - 3,Aston Villa
04-11-2024,Fulham,2 - 1,Brentford
23-11-2024,Fulham,1 - 4,Wolves
05-12-2024,Fulham,3 - 1,Brighton
08-12-2024,Fulham,1 - 1,Arsenal
22-12-2024,Fulham,0 - 0,Southampton
29-12-2024,Fulham,2 - 2,Bournemouth
05-01-2025,Fulham,2 - 2,Ipswich
26-01-2025,Fulham,0 - 1,Man United
15-02-2025,Fulham,2 - 1,Nott'm Forest
16-08-2024,Man United,1 - 0,Fulham
31-08-2024,Ipswich,1 - 1,Fulham
28-09-2024,Nott'm Forest,0 - 1,Fulham
05-10-2024,Man City,3 - 2,Fulham
26-10-2024,Everton,1 - 1,Fulham
09-11-2024,Crystal Palace,0 - 2,Fulham
01-12-2024,Tottenham,1 - 1,Fulham
14-12-2024,Liverpool,2 - 2,Fulham
26-12-2024,Chelsea,1 - 2,Fulham
14-01-2025,West Ham,3 - 2,Fulham
18-01-2025,Leicester,0 - 2,Fulham
